task_id,coord_1,coord_2,task_type,duration,profit
0,1.5636,-127.867,9,28.0,8.0
1,5.442,112.6851,4,29.0,9.0
2,-42.7516,-163.8517,2,21.0,9.0
3,-33.071,12.5997,10,25.0,7.0
4,19.8352,-47.7027,6,24.0,6.0
5,-7.1545,-171.0232,1,20.0,7.0
6,14.2733,-109.7055,1,29.0,5.0
7,-22.5795,77.7216,2,28.0,7.0
8,-15.805,150.7683,5,26.0,7.0
9,-28.4514,20.3315,1,24.0,7.0
10,24.4713,-52.7499,5,27.0,8.0
11,-37.3906,0.1328,2,23.0,7.0
12,2.7989,-12.9313,10,22.0,9.0
13,42.5506,-145.8719,6,19.0,8.0
14,-2.9557,55.6633,7,17.0,5.0
15,28.4423,31.771,2,17.0,6.0
16,39.859,-46.6334,9,26.0,9.0
17,-23.1947,-43.0269,4,18.0,5.0
18,30.3814,-116.4121,1,19.0,7.0
19,41.0026,-24.5753,9,28.0,9.0
20,-38.5003,-78.107,2,29.0,9.0
21,-44.9184,-110.6825,1,25.0,7.0
22,6.2546,-56.1519,4,18.0,8.0
23,-36.4702,60.489,1,22.0,7.0
24,2.2196,129.0216,3,18.0,8.0
25,-21.6788,-55.2594,9,23.0,6.0
26,-17.3217,63.0064,3,18.0,5.0
27,9.8572,-30.644,7,27.0,9.0
28,-43.6049,58.0616,3,25.0,8.0
29,-6.085,151.436,5,23.0,7.0
30,-29.8081,151.8777,8,20.0,8.0
31,-23.49,-163.9312,7,19.0,5.0
32,24.3524,40.2211,8,22.0,6.0
33,40.7027,-133.6178,1,17.0,5.0
34,25.5528,109.4994,5,23.0,6.0
35,38.1237,-116.7998,2,23.0,6.0
36,-13.2683,104.5198,4,15.0,7.0
37,-9.0412,-69.6123,1,23.0,7.0
38,5.1258,-130.7807,5,26.0,6.0
39,-2.4478,-122.3504,6,21.0,8.0
40,-19.742,94.957,6,22.0,5.0
41,-9.0496,-40.8413,10,16.0,7.0
42,-42.0989,-8.427,9,15.0,8.0
43,46.5771,19.9748,4,15.0,6.0
44,8.1997,32.0639,7,25.0,8.0
45,11.0604,-166.1646,10,19.0,8.0
46,21.149,98.2892,8,28.0,8.0
47,11.7722,-71.0665,1,29.0,7.0
48,-50.0157,-94.2543,7,15.0,8.0
49,-45.3929,-153.5272,4,15.0,9.0
50,44.6708,-124.0344,6,17.0,5.0
51,23.817,-164.6204,1,27.0,5.0
52,-13.1233,-137.3264,4,19.0,8.0
53,-18.0397,18.2915,2,21.0,8.0
54,14.5023,22.0695,8,22.0,7.0
55,-17.0477,17.1299,6,16.0,6.0
56,3.2656,172.5663,9,19.0,6.0
57,4.6703,34.6791,8,28.0,8.0
58,7.2437,-7.8629,4,27.0,5.0
59,43.4193,163.6176,3,18.0,7.0
60,2.2213,52.8686,10,21.0,6.0
61,-14.8275,60.0213,10,23.0,7.0
62,-34.2268,163.4094,7,21.0,6.0
63,-10.9345,102.7656,9,16.0,5.0
64,24.7493,55.4044,6,26.0,6.0
65,-36.1825,77.4047,2,20.0,6.0
66,-12.224,-70.4962,7,23.0,6.0
67,40.6988,17.7131,4,16.0,6.0
68,39.9973,-177.974,5,21.0,9.0
69,12.1287,-174.6917,2,23.0,6.0
70,-39.8395,136.7271,9,18.0,9.0
71,38.9077,128.0064,3,17.0,5.0
72,15.3811,-65.608,8,19.0,8.0
73,39.5304,-38.4212,3,16.0,9.0
74,36.85,59.7592,10,27.0,8.0
75,24.1527,-107.7732,7,27.0,5.0
76,-37.7455,-117.2848,6,15.0,7.0
77,0.5175,-151.1787,6,23.0,5.0
78,-49.992,-37.8152,5,15.0,7.0
79,6.3152,85.4162,8,25.0,8.0
80,-29.5584,158.3584,4,23.0,6.0
81,-4.4353,-152.9492,1,24.0,6.0
82,17.6409,-166.4117,6,15.0,7.0
83,-3.085,-85.2562,7,27.0,6.0
84,31.0441,108.2816,8,28.0,7.0
85,-5.0155,38.58,10,19.0,9.0
86,52.0024,5.5358,2,16.0,8.0
87,-31.3733,42.2796,4,25.0,7.0
88,-7.4475,-15.6397,1,19.0,8.0
89,52.007,-57.352,8,23.0,9.0
90,-21.5815,152.8002,4,22.0,9.0
91,-8.4413,-174.7475,6,15.0,6.0
92,37.2051,93.6811,6,26.0,5.0
93,-36.9891,149.8009,6,18.0,6.0
94,37.466,14.9652,5,20.0,5.0
95,-17.3509,-2.2484,4,19.0,8.0
96,-41.1286,-154.6544,10,21.0,7.0
97,-45.9887,-163.1955,9,17.0,6.0
98,-32.9198,32.5164,9,19.0,9.0
99,17.9686,57.637,3,17.0,5.0
100,-45.1011,-149.9765,7,19.0,7.0
101,27.012,17.2791,5,20.0,7.0
102,45.2207,81.9839,2,19.0,7.0
103,29.7422,-72.4816,5,19.0,6.0
104,-41.937,78.5883,5,29.0,6.0
105,-25.1083,-100.8394,3,22.0,9.0
106,18.6782,-54.3295,7,17.0,5.0
107,-49.9688,85.7866,9,15.0,5.0
108,1.9235,72.4426,1,24.0,5.0
109,-4.0596,-70.2437,10,27.0,7.0
110,-13.6896,-40.3101,5,27.0,8.0
111,-15.2409,-139.335,6,15.0,5.0
112,3.7036,-165.0798,2,21.0,9.0
113,8.2177,21.1581,5,17.0,7.0
114,-48.5172,-87.0882,5,17.0,6.0
115,-10.2673,-143.3987,10,27.0,6.0
116,48.5746,-51.9382,8,16.0,7.0
117,-22.4527,14.4243,4,22.0,7.0
118,44.0576,76.9653,6,27.0,9.0
119,-2.4697,-94.783,6,25.0,8.0
120,42.7106,-135.2929,4,19.0,9.0
121,-41.0469,-111.1995,5,23.0,8.0
122,-26.018,-88.0012,2,25.0,6.0
123,-34.0035,162.1091,3,15.0,8.0
124,-49.0294,-160.8079,3,24.0,5.0
125,-18.1792,-37.5923,6,19.0,8.0
126,-35.359,-38.4839,5,18.0,9.0
127,35.4108,-150.7728,9,16.0,9.0
128,-42.7106,178.1379,2,26.0,7.0
129,16.9691,-170.4764,3,21.0,8.0
130,2.7982,-111.0944,4,16.0,7.0
131,37.0596,5.6487,4,17.0,7.0
132,23.0219,137.9771,1,27.0,6.0
133,38.3134,-175.1135,10,26.0,7.0
134,-42.6092,125.5256,4,15.0,7.0
135,-48.4812,-80.9643,2,17.0,9.0
136,-20.9834,154.7649,9,24.0,6.0
137,50.3521,-75.4837,10,27.0,7.0
138,-19.2524,138.4535,1,24.0,9.0
139,-30.3372,-116.4854,5,22.0,7.0
140,15.5303,-77.9872,4,29.0,6.0
141,18.8379,-127.489,3,25.0,6.0
142,7.8991,-54.009,4,20.0,8.0
143,30.4523,-94.8018,8,21.0,6.0
144,7.5391,-116.0647,10,17.0,7.0
145,-30.3761,-98.5204,1,17.0,9.0
146,38.8173,95.2514,9,25.0,7.0
147,-51.0205,173.7972,3,20.0,5.0
148,34.8905,37.3807,3,23.0,6.0
149,49.6503,3.1746,5,29.0,5.0
150,50.5767,81.7742,7,17.0,7.0
151,-3.2951,-133.5308,9,21.0,5.0
152,-5.1533,-176.7048,1,26.0,6.0
153,32.8528,59.0566,5,29.0,7.0
154,32.2786,128.7055,8,20.0,5.0
155,49.5326,48.6977,2,28.0,5.0
156,21.6891,-96.0886,2,15.0,6.0
157,-38.2606,31.9048,10,17.0,8.0
158,41.2969,9.1811,8,17.0,5.0
159,33.9203,130.0757,9,17.0,9.0
160,-20.7386,20.9451,7,23.0,6.0
161,-40.3199,-40.5741,9,16.0,6.0
162,35.3661,-89.7241,9,21.0,5.0
163,-29.8606,177.2558,4,22.0,7.0
164,-29.5414,-10.8249,4,20.0,8.0
165,-23.4247,61.3553,9,19.0,6.0
166,-41.7675,-4.3056,4,15.0,6.0
167,-37.478,59.5059,9,25.0,6.0
168,26.6862,-2.9605,9,27.0,8.0
169,14.7157,-142.5799,10,16.0,8.0
170,34.7283,-44.0095,6,25.0,7.0
171,35.4487,-105.0759,5,28.0,7.0
172,-5.3856,-140.1854,7,27.0,9.0
173,-16.3661,-107.3512,8,15.0,6.0
174,5.6183,-62.8865,2,16.0,8.0
175,24.3303,39.1725,6,24.0,8.0
176,-34.4428,24.6275,3,23.0,8.0
177,24.1909,113.2157,6,22.0,9.0
178,46.461,103.7569,10,17.0,8.0
179,14.963,61.197,4,28.0,9.0
180,-6.6753,-153.4067,6,27.0,7.0
181,0.2449,-81.8603,1,15.0,9.0
182,-29.0854,36.4946,7,16.0,6.0
183,40.3629,19.9466,5,16.0,7.0
184,3.2982,62.8616,1,15.0,6.0
185,28.0676,-134.1574,3,19.0,6.0
186,-46.6888,87.0754,10,24.0,6.0
187,-42.273,89.569,9,15.0,8.0
188,-4.7058,112.6165,1,23.0,6.0
189,-17.2847,72.2697,8,29.0,6.0
190,-43.9102,13.5058,5,20.0,9.0
191,27.8154,-175.5494,1,22.0,6.0
192,-13.2532,159.9828,3,25.0,5.0
193,-1.7242,175.1877,7,27.0,7.0
194,-39.0101,9.5441,4,22.0,7.0
195,23.1389,-139.1796,6,26.0,7.0
196,-46.2118,-123.6046,10,29.0,9.0
197,2.3345,-51.1444,9,24.0,6.0
198,-43.5835,-92.3815,1,26.0,6.0
199,1.1881,-133.0391,7,22.0,8.0
200,-15.8677,125.0665,3,23.0,5.0
201,6.2796,-157.8248,4,28.0,7.0
202,15.7961,-98.6267,4,29.0,6.0
203,-29.8586,168.0034,3,27.0,6.0
