task_id,coord_1,coord_2,task_type,duration,profit
0,39.3872,104.4097,8,29.0,5.0
1,34.0261,103.9775,1,21.0,7.0
2,43.9375,125.8303,8,20.0,8.0
3,20.9085,89.519,6,28.0,6.0
4,35.1433,98.6874,7,21.0,5.0
5,41.1839,130.0222,9,25.0,7.0
6,5.1614,132.4376,5,16.0,5.0
7,26.8882,95.0171,7,28.0,9.0
8,50.0111,90.6047,3,18.0,5.0
9,18.345,81.7905,6,21.0,5.0
10,30.4773,108.8297,6,21.0,5.0
11,17.9811,80.179,1,29.0,6.0
12,36.5076,121.9663,3,28.0,5.0
13,44.4062,120.3313,7,20.0,5.0
14,52.5608,96.8255,1,28.0,5.0
15,20.4727,83.5273,8,19.0,7.0
16,33.8584,103.3013,6,24.0,9.0
17,25.3033,105.3205,9,16.0,9.0
18,20.9057,98.7697,4,24.0,8.0
19,9.2059,96.3556,7,17.0,7.0
20,28.9022,120.5393,8,20.0,5.0
21,10.6228,113.1804,6,20.0,6.0
22,9.2083,122.2772,8,22.0,8.0
23,11.2564,82.161,7,28.0,5.0
24,17.4725,115.1333,3,21.0,8.0
25,31.0861,118.8361,7,18.0,7.0
26,51.0097,132.4357,6,27.0,8.0
27,44.2424,83.2451,1,24.0,7.0
28,41.8196,82.2747,8,27.0,6.0
29,29.8413,130.6786,3,28.0,5.0
30,51.5716,101.8044,5,29.0,6.0
31,43.7911,95.476,5,23.0,6.0
32,22.426,99.176,10,28.0,8.0
33,9.6786,130.815,8,25.0,8.0
34,52.7189,102.6705,9,21.0,7.0
35,9.7436,126.8571,5,18.0,7.0
36,33.0206,124.3846,2,17.0,5.0
37,27.006,132.5287,7,24.0,6.0
38,25.5123,107.6405,2,19.0,7.0
39,20.0063,86.4843,4,16.0,7.0
40,31.6621,87.8557,2,17.0,6.0
41,26.8462,75.1063,5,23.0,8.0
42,48.9103,83.3626,3,16.0,5.0
43,29.6055,89.0437,4,28.0,5.0
44,10.0714,92.6669,3,20.0,7.0
45,23.8518,83.0901,4,29.0,5.0
46,48.5067,119.5701,2,26.0,6.0
47,20.6408,113.3874,6,28.0,7.0
48,25.2507,100.0696,2,27.0,5.0
49,16.8768,101.7249,3,16.0,5.0
50,6.6366,91.041,9,15.0,5.0
51,15.273,124.7802,10,24.0,9.0
52,18.4378,78.1196,1,21.0,8.0
53,10.1018,98.5724,4,25.0,8.0
54,45.9494,94.502,1,20.0,9.0
55,37.5134,101.2911,9,20.0,6.0
56,49.9143,75.2247,1,27.0,6.0
57,33.4725,115.6261,1,23.0,7.0
58,27.4907,74.7103,4,15.0,7.0
59,20.9844,74.6331,9,17.0,8.0
60,45.5665,118.7496,2,22.0,5.0
61,38.7182,128.6993,10,17.0,6.0
62,41.6971,104.0234,3,20.0,9.0
63,16.5839,88.7274,1,16.0,8.0
64,24.5801,124.2861,8,19.0,6.0
65,44.5241,94.2839,6,27.0,5.0
66,36.1525,90.5532,5,25.0,5.0
67,11.7896,105.2741,3,25.0,6.0
68,37.0565,105.994,4,18.0,5.0
69,51.6378,112.3114,6,17.0,7.0
70,7.8782,127.7204,6,22.0,9.0
71,52.8281,100.4518,7,17.0,7.0
72,20.9817,77.2358,2,16.0,9.0
73,27.0695,122.7647,7,18.0,8.0
74,39.6889,105.9816,10,26.0,6.0
75,47.0851,110.3853,1,17.0,8.0
76,11.7646,83.7748,6,21.0,7.0
77,40.5522,118.6829,4,27.0,7.0
78,38.9131,94.1652,3,16.0,6.0
79,33.5267,100.1683,10,20.0,7.0
80,10.1673,98.671,1,23.0,7.0
