task_id,coord_1,coord_2,task_type,duration,profit
0,16.6722,125.6052,5,28.0,7.0
1,32.4371,88.6318,8,20.0,9.0
2,4.1172,106.6546,6,26.0,6.0
3,18.5117,83.5132,1,26.0,7.0
4,13.8344,129.0309,10,15.0,6.0
5,24.4798,120.6115,1,26.0,6.0
6,14.8608,90.9161,10,25.0,8.0
7,32.4207,84.0569,10,25.0,6.0
8,14.2339,88.281,6,24.0,7.0
9,34.9496,98.0838,3,24.0,6.0
10,48.0556,131.6202,4,29.0,5.0
11,19.9797,122.0654,3,25.0,7.0
12,42.7609,103.5675,3,15.0,5.0
13,39.1872,123.0411,3,17.0,6.0
14,9.2977,100.928,5,22.0,9.0
15,51.1002,89.3441,8,22.0,9.0
16,3.5767,83.9553,5,23.0,9.0
17,16.0107,91.3748,1,25.0,6.0
18,41.5328,103.5057,7,18.0,9.0
19,38.761,84.325,9,24.0,6.0
20,43.2487,88.4657,6,19.0,8.0
21,24.7823,100.3454,3,16.0,6.0
22,6.3597,91.8075,3,25.0,5.0
23,33.6315,130.5828,3,17.0,9.0
24,23.8748,81.7267,1,26.0,8.0
25,33.8763,85.2808,8,23.0,5.0
26,41.6627,110.0139,10,18.0,7.0
27,40.6886,126.6783,7,27.0,8.0
28,43.2229,85.6327,7,20.0,5.0
29,25.8599,122.193,6,18.0,8.0
30,40.7753,75.9349,2,25.0,6.0
31,35.9765,102.2188,1,23.0,5.0
32,14.5483,127.6463,7,15.0,6.0
33,25.5148,77.0258,6,18.0,6.0
34,38.8996,81.0934,6,21.0,6.0
35,13.3476,120.4259,3,25.0,5.0
36,42.8821,129.6386,3,27.0,9.0
37,39.2169,127.404,3,15.0,6.0
38,16.3396,91.9251,10,27.0,5.0
39,47.6842,85.4229,4,15.0,7.0
40,22.5051,109.4006,1,28.0,5.0
41,34.0309,108.5896,5,20.0,9.0
42,46.4549,122.1866,9,21.0,8.0
43,17.3495,76.4568,9,16.0,5.0
44,30.1781,75.5277,8,27.0,6.0
45,23.1287,92.7545,3,20.0,9.0
46,52.9952,119.766,4,16.0,5.0
47,12.5483,75.3671,9,25.0,7.0
48,9.5589,104.0169,7,15.0,7.0
49,25.3507,126.8722,2,15.0,6.0
50,44.8036,79.2367,2,28.0,9.0
51,20.3986,119.46,6,22.0,9.0
52,17.5688,84.8193,1,21.0,8.0
53,7.4832,117.6084,9,20.0,9.0
54,15.3769,94.9366,7,25.0,7.0
55,4.3306,73.3878,7,20.0,6.0
56,28.2352,90.6534,9,17.0,9.0
57,47.7979,125.7049,6,19.0,7.0
58,23.8317,103.4037,6,26.0,6.0
59,49.7095,76.213,4,20.0,8.0
60,38.177,105.7136,1,16.0,7.0
61,26.5231,98.6446,9,21.0,5.0
62,20.0754,99.1199,6,19.0,5.0
63,52.8576,75.0129,6,24.0,5.0
64,13.5624,101.1835,10,27.0,7.0
65,40.0405,107.2531,3,19.0,5.0
66,51.6532,110.3019,8,25.0,6.0
67,50.9739,83.2832,2,23.0,9.0
68,26.4275,101.4376,1,16.0,9.0
69,52.0651,86.8318,2,25.0,8.0
70,48.0321,97.5719,4,18.0,8.0
71,14.6908,115.2572,9,25.0,6.0
72,47.9788,79.3717,2,18.0,7.0
73,38.9905,115.1233,6,15.0,9.0
74,44.2883,101.0172,7,25.0,5.0
75,39.8644,93.4817,6,27.0,6.0
76,28.514,124.3948,3,22.0,9.0
77,31.1766,96.13,9,16.0,7.0
78,15.7595,100.0155,9,17.0,9.0
79,21.1177,87.6415,2,25.0,7.0
80,16.9623,84.1143,5,26.0,5.0
81,24.6844,116.5259,5,16.0,5.0
82,47.6227,123.9076,1,22.0,5.0
83,5.1498,107.4253,7,20.0,8.0
84,19.7155,107.9704,10,24.0,5.0
85,21.7753,89.6772,4,27.0,9.0
86,27.6632,111.1246,2,21.0,8.0
87,19.2521,79.5624,10,20.0,6.0
88,44.9049,88.96,4,15.0,6.0
89,23.3365,130.7124,10,15.0,6.0
90,42.43,124.8231,1,16.0,7.0
91,37.8203,106.3895,2,24.0,9.0
92,10.7867,125.9557,2,17.0,9.0
93,15.8523,98.4531,6,25.0,5.0
94,49.6811,86.3814,3,15.0,6.0
95,6.4155,106.2747,2,19.0,5.0
96,23.6817,86.7157,10,24.0,9.0
97,34.4773,104.772,4,29.0,8.0
98,41.4275,99.9858,3,22.0,6.0
99,50.7752,80.8543,3,16.0,8.0
100,52.1256,88.4245,8,28.0,9.0
101,31.2788,123.0351,2,28.0,6.0
102,10.0914,89.0325,1,23.0,9.0
